index,label_en,label_zh,r,g,b,a
1,Retrocalcarine cortex RH,距旁皮层（右半球）,242,92,92,255
2,Superior longitudinal fasciculus II mid-posterior RH,上纵束 II 后中部（右半球）,242,92,92,255
3,Arcuate fasciculus mid-anterior RH,弓状束前中部（右半球）,242,93,92,255
4,Cerebrospinal fluid (between middle frontal gyrus anterior and skull),脑脊液（额中回前部与颅骨间）,242,94,92,255
5,Precentral sulcus mid-inferior RH,中央前沟中下部（右半球）,242,95,92,255
6,Putamen inferior RH,壳核下部（右半球）,242,96,92,255
7,Paracingulate gyrus posterior,扣带旁回后部,242,97,92,255
8,Inferior temporal sulcus anterior RH,颞下沟前部（右半球）,242,98,92,255
9,Parahippocampal gyrus anterior,海马旁回前部,242,99,92,255
10,Calcarine cortex mid-posterior RH,距状皮层后中部（右半球）,242,99,92,255
11,Middle frontal gyrus superior RH,额中回上部（右半球）,242,100,92,255
12,Cerebrospinal fluid (between posterior intraparietal sulcus and skull LH),脑脊液（顶内沟与颅骨间，左半球）,242,101,92,255
13,Superior parietal lobule anterior LH,顶上小叶前部（左半球）,242,102,92,255
14,Precentral gyrus middle,中央前回中部,242,103,92,255
15,Postcentral sulcus superior RH,中央后沟上部（右半球）,242,104,92,255
16,Subcentral gyrus RH,中央下回（右半球）,242,105,92,255
17,Frontal pole lateral RH,额极外侧（右半球）,242,106,92,255
18,Postcentral sulcus middle LH,中央后沟中部（左半球）,242,107,92,255
19,Inferior longitudinal fasciculus posterior RH,下纵束后部（右半球）,242,107,92,255
20,Parieto-occipital sulcus middle,顶枕沟中部,242,108,92,255
21,Lateral fissure posterior limb LH,外侧沟后肢（左半球）,242,109,92,255
22,Superior corona radiata RH,上辐射冠（右半球）,242,110,92,255
23,Fusiform gyrus mid-posterior RH,梭状回后中部（右半球）,242,111,92,255
24,Cingulate sulcus mid-posterior LH,扣带沟后中部（左半球）,242,112,92,255
25,Intraparietal sulcus posterior RH,顶内沟后部（右半球）,242,113,92,255
26,Anterior insula antero-inferior RH,前脑岛前下部（右半球）,242,114,92,255
27,External capsule anterior LH,外囊前部（左半球）,242,114,92,255
28,Corpus callosum splenium superior,胼胝体压上部,242,115,92,255
29,Internal capsule genu posterior,内囊后部,242,116,92,255
30,Superior parietal lobule posterior RH,顶上小叶后部（右半球）,242,117,92,255
31,Lateral occipital cortex anterior RH,外侧枕叶皮层前部（右半球）,242,118,92,255
32,Middle frontal gyrus mid-posterior inferior RH,额中回后中下部（右半球）,242,119,92,255
33,Parieto-occipital sulcus middle LH,顶枕沟中部（左半球）,242,120,92,255
34,Frontomarginal gyrus LH,额缘回（左半球）,242,121,92,255
35,Corpus callosum splenium,胼胝体压部,242,121,92,255
36,Cingulate cortex mid-anterior LH,中前部扣带皮层（左半球）,242,122,92,255
37,Middle frontal gyrus posterior inferior RH,额中回后下部（右半球）,242,123,92,255
38,Thalamus LH,丘脑（左半球）,242,124,92,255
39,Fusiform gyrus anterior RH,梭状回前部（右半球）,242,125,92,255
40,Precentral sulcus middle LH,中央前沟中部（左半球）,242,126,92,255
41,Central opercular cortex LH,中央岛盖皮层（左半球）,242,127,92,255
42,Cerebellum VI superior,小脑 VI 叶上部,242,128,92,255
43,Corpus callosum genu superior,胼胝体膝上部,242,129,92,255
44,Cerebrospinal fluid (between precentral gyrus and skull),脑脊液（中央前回与颅骨间）,242,129,92,255
45,Heschl’s gyrus posterior RH,Heschl回后部（右半球）,242,130,92,255
46,Lingual gyrus posterior RH,舌回后部（右半球）,242,131,92,255
47,Corticospinal tract middle RH,皮质脊髓束（右半球）,242,132,92,255
