index,label_en,label_zh,r,g,b,a
1,Superior occipital sulcus inferior LH,枕上沟下部（左半球）,242,92,92,255
2,Superior occipital gyrus,枕上回,242,93,92,255
3,Insula antero-inferior,脑岛前下部,242,95,92,255
4,Middle frontal gyrus middle RH,额中回中部（右半球）,242,97,92,255
5,Calcarine cortex posterior LH,距状皮层后部（左半球）,242,99,92,255
6,Lateral fissure posterior ramus RH,外侧沟后支（右半球）,242,100,92,255
7,Superior occipital gyrus superior LH,枕上回上部（左半球）,242,102,92,255
8,Angular gyrus inferior LH,角回下部（左半球）,242,104,92,255
9,Calcarine sulcus anterior LH,距状沟前部（左半球）,242,106,92,255
10,Frontal pole inferior RH,额极下部（右半球）,242,107,92,255
11,Midbrain superior,中脑上部,242,109,92,255
12,Occipitotemporal gyrus mid-posterior RH,枕颞回后中部（右半球）,242,111,92,255
13,Insula postero-inferior medial,脑岛后下内侧,242,113,92,255
14,Cerebellum VI RH,小脑 VI 叶（右半球）,242,114,92,255
15,Fusiform gyrus anterior LH,梭状回前部（左半球）,242,116,92,255
16,Cerebellum Crus I anterior RH,小脑 Crus I 前部（右半球）,242,118,92,255
17,Supramarginal gyrus antero-superior LH,缘上回前上部（左半球）,242,120,92,255
18,Angular sulcus superior LH,角沟上部（左半球）,242,121,92,255
19,Paracingulate sulcus LH,扣带旁沟（左半球）,242,123,92,255
20,Superior frontal gyrus superior,额上回上部,242,125,92,255
21,Pars triangularis LH,三角部（左半球）,242,127,92,255
22,Superior longitudinal fasciculus II LH,上纵束 II（左半球）,242,129,92,255
23,Corona radiata antero-superior,辐射冠前上部,242,130,92,255
24,Dorsomedial prefrontal cortex antero-superior LH,内侧皮层前上部左侧,242,132,92,255
25,Superior longitudinal fasciculus III anterior LH,上纵束 III 前部（左半球）,242,134,92,255
26,Cuneus antero-inferior,楔叶下部,242,136,92,255
27,Anterior vertical ramus of the lateral fissure LH,外侧沟前垂直支（左半球）,242,137,92,255
28,Corpus callosum isthmus anterior,胼胝体峡前部,242,139,92,255
29,Internal capsule posterior limb RH,内囊后肢（右半球）,242,141,92,255
30,Cingulate gyrus middle inferior,扣带回中部下侧,242,143,92,255
31,Caudate RH,尾状核（右半球）,242,144,92,255
32,Superior frontal sulcus anterior RH,额上沟前部（右半球）,242,146,92,255
33,Pars orbitalis RH,眶部（右半球）,242,148,92,255
34,Cerebellum VIIb,小脑 VIIb 叶,242,150,92,255
35,Intraparietal sulcus anterior LH,顶内沟前部（左半球）,242,151,92,255
36,Superior longitudinal fasciculus I posterior RH,上纵束 I 后部（右半球）,242,153,92,255
37,Superior longitudinal fasciculus II middle RH,上纵束 II 中部（右半球）,242,155,92,255
38,Angular gyrus postero-inferior RH,角回后下部（右半球）,242,157,92,255
39,Cerebrospinal fluid (between middle frontal gyrus and skull),脑脊液（额中回与颅骨间）,242,158,92,255
40,Cerebellum III anterior,小脑 III 叶前部,242,160,92,255
41,Central sulcus middle RH,中央沟中部（右半球）,242,162,92,255
42,Cerebrospinal fluid (between interhemispheric fissure and superior frontal gyrus superio ),脑脊液（纵裂）,242,164,92,255
43,Superior frontal gyrus superior RH,额上回上部（右半球）,242,165,92,255
44,Frontal pole superior RH,额极上部（右半球）,242,167,92,255
45,Postcentral sulcus LH,中央后沟（左半球）,242,169,92,255
46,Frontomarginal gyrus,额缘回,242,171,92,255
47,Paracingulate sulcus posterior RH,扣带旁沟后部（右半球）,242,173,92,255
48,Middle frontal gyrus mid-anterior LH,额中回前中部（左半球）,242,174,92,255
49,Middle frontal gyrus posterior lateral RH,额中回后外侧（右半球）,242,176,92,255
50,Intraparietal sulcus superior LH,顶内沟上部（左半球）,242,178,92,255
51,Ventromedial prefrontal cortex,腹内侧前额叶皮层,242,180,92,255
52,Lingual gyrus posterior,舌回后部,242,181,92,255
53,Insula antero-superior RH,脑岛前上部（右半球）,242,183,92,255
54,Caudate superior,尾状核上部,242,185,92,255
55,Parieto-occipital sulcus mid-posterior,顶枕沟后中部,242,187,92,255
56,Globus pallidus anterior,苍白球前部,242,188,92,255
57,Superior longitudinal fasciculus I anterior LH,上纵束 I 前部（左半球）,242,190,92,255
58,Superior longitudinal fasciculus I anterior RH,上纵束 I 前部（右半球）,242,192,92,255
59,Precentral sulcus mid-inferior LH,中央前沟中下部（左半球）,242,194,92,255
60,Cerebellum VI superior medial,小脑 VI 叶上内侧,242,195,92,255
61,Postcentral sulcus inferior RH,中央后沟下部（右半球）,242,197,92,255
62,Cuneus middle posterior RH,楔叶中后部（右半球）,242,199,92,255
63,Cerebrospinal fluid (between middle frontal gyrus superior and skull LH),脑脊液（额中回上部与颅骨间，左半球）,242,201,92,255
64,Paracingulate gyrus posterior LH,扣带旁回后部（左半球）,242,202,92,255
65,Precentral gyrus mid-superior,中央前回中上部,242,204,92,255
66,Superior temporal gyrus mid-anterior LH,颞上回前部（左半球）,242,206,92,255
67,Fusiform gyrus anterior,梭状回前部,242,208,92,255
68,Superior frontal gyrus medial anterior,额上回内侧前部,242,209,92,255
69,Superior frontal gyrus mid-posterior,额上回后中部,242,211,92,255
70,Cerebellum IX,小脑 IX 叶（半球）,242,213,92,255
71,Thalamus posterior,丘脑后部,242,215,92,255
72,Globus pallidus RH,苍白球（右半球）,242,217,92,255
73,Postcentral sulcus RH,中央后沟（右半球）,242,218,92,255
74,Thalamus superior,丘脑上部,242,220,92,255
75,Superior occipital sulcus superior LH,枕上沟上部（左半球）,242,222,92,255
76,Supramarginal gyrus posterior LH,缘上回后部（左半球）,242,224,92,255
77,Gyrus rectus,直回,242,225,92,255
78,Anterior occipital sulcus RH,前枕沟（右半球）,242,227,92,255
79,Lateral fissure anterior,外侧沟前部,242,229,92,255
80,Corona radiata posterior LH,辐射冠后部（左半球）,242,231,92,255
81,Cerebellum V anterior,小脑 V 叶前部,242,232,92,255
82,Parieto-occipital sulcus mid-anterior,顶枕沟前中部,242,234,92,255
83,Hippocampus anterior,海马前部,242,236,92,255
84,Superior frontal gyrus mid-anterior LH,额上回前中部（左半球）,242,238,92,255
85,Cerebellum Crus II anterior LH,小脑 Crus II 前部（左半球）,242,239,92,255
86,Intraparietal sulcus middle RH,顶内沟中部（右半球）,242,241,92,255
87,Parieto-occipital sulcus posterior lateral,顶枕沟后部,241,242,92,255
88,Occipital pole LH,枕极（左半球）,239,242,92,255
89,Corticospinal tract superior,皮质脊髓束上部,237,242,92,255
90,Cingulate gyrus middle superior,扣带回中部上侧,235,242,92,255
91,Parieto-occipital sulcus anterior,顶枕沟前部,234,242,92,255
92,Cererbrospinal fluid (between callosomarginal sulcus and skull LH),脑沟,232,242,92,255
93,Occipitotemporal gyrus posterior RH,枕颞回后部（右半球）,230,242,92,255
94,Insula postero-superior lateral LH,脑岛后上外侧（左半球）,228,242,92,255
95,Superior frontal gyrus posterior LH,额上回后部（左半球）,226,242,92,255
96,Inferior frontal sulcus middle RH,额下沟（右半球）,225,242,92,255
97,Postcentral gyrus middle LH,中央后回中部（左半球）,223,242,92,255
98,Arcuate fasciculus postero-inferior LH,弓状束下部（左半球）,221,242,92,255
99,Angular gyrus anterior RH,角回前部（右半球）,219,242,92,255
100,Angular sulcus inferior RH,角沟下部（右半球）,218,242,92,255
101,Temporal pole LH,颞极（左半球）,216,242,92,255
102,Paracentral lobule inferior LH,旁中央小叶下部（左半球）,214,242,92,255
103,Precentral sulcus medial,中央前沟内侧,212,242,92,255
104,Dorsomedial prefrontal cortex LH,内侧皮层左侧,211,242,92,255
105,Amygdala inferior,杏仁核下部,209,242,92,255
106,Perirhinal cortex,嗅旁皮层,207,242,92,255
107,Cuneus middle,楔叶,205,242,92,255
108,Callosomarginal sulcus middle,胼胝体缘沟中部,204,242,92,255
109,Lunate sulcus RH,月状沟（右半球）,202,242,92,255
110,Putamen superior,壳核上部,200,242,92,255
111,Putamen LH,壳核（左半球）,198,242,92,255
112,Frontal pole,额极,197,242,92,255
113,Forceps minor,小钳,195,242,92,255
114,Superior temporal gyrus medial anterior,颞上回前内侧,193,242,92,255
115,Middle frontal gyrus anterior RH,额中回前部（右半球）,191,242,92,255
116,Planum polare superior,颞平面极上部,190,242,92,255
117,Dorsomedial prefrontal cortex posterior,内侧皮层后部,188,242,92,255
118,Superior frontal gyrus postero-superior LH,额上回后上部（左半球）,186,242,92,255
119,Supramarginal gyrus postero-superior RH,缘上回后上部（右半球）,184,242,92,255
120,Amygdala,杏仁核,182,242,92,255
121,Cerebellum VI medial RH,小脑 VI 叶内侧（右半球）,181,242,92,255
122,Lingual gyrus medial,舌回内侧,179,242,92,255
123,Cuneus anterior RH,楔叶前部（右半球）,177,242,92,255
124,Superior frontal sulcus middle LH,额上沟中部（左半球）,175,242,92,255
125,Cerebellum IX inferior,小脑 IX 叶（半球）下部,174,242,92,255
126,Cingulum anterior,扣带束前部,172,242,92,255
127,Inferior temporal sulcus mid-posterior RH,颞下沟后中部（右半球）,170,242,92,255
